Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,Selection_Markers,Mod_Method,Mod_Direction
6163212.pdf,10.3390/ijms19092827,Oryza sativa,Agrobacterium-mediated overexpression,Increased nitrogen utilization efficiency (NUE),Leaf N content increased by 15%; Grain yield increased by 35% | Leaf N content increased by 18%; Grain yield increased by 35%,,"Nitrogen Utilization, Above-Ground Biomass Yield",PP2C9,,Agrobacterium,Overexpression
6163212.pdf,10.3390/ijms19092827,Oryza sativa,Agrobacterium-mediated overexpression,Increased nitrogen utilization efficiency (NUE),Leaf N content increased by 15%; Grain yield increased by 35% | Leaf N content increased by 18%; Grain yield increased by 35%,,"Nitrogen Utilization, Grain Yield",PP2C9,,Agrobacterium,Overexpression
6164191.pdf,10.3390/ijms19092579,Arabidopsis thaliana,Overexpression via CaMV35S promoter,Enhanced cold tolerance,Germination rate: 85%; Fv/Fm: 0.85; EC: 15%; Survival rate: 90%,CaMV35S,"Disease Resistance, Cold Tolerance",PsCor413pm2,,Unknown,Overexpression
6164405.pdf,10.3390/ijms19092761,Malus × domestica,Agrobacterium-mediated overexpression,Increased nitrogen uptake under low-nitrogen conditions,Biomass production increased by 11-12 fold; fresh weight significantly higher than wild type,35S promoter,"Disease Resistance, Nitrogen Utilization",MdNPF6.5,,Agrobacterium,Overexpression
6164405.pdf,10.3390/ijms19092761,Malus × domestica,Overexpression using 35S promoter,Increased nitrogen uptake under low-nitrogen conditions,Biomass production increased by 11-12 fold; fresh weight significantly higher than wild type,35S promoter,"Disease Resistance, Nitrogen Utilization",MdNPF6.5,,Unknown,Overexpression
6164895.pdf,10.3390/ijms19092478,Arabidopsis thaliana,Overexpression,Enhanced drought and osmotic stress tolerance,Root length increased by 20%; Fresh weight increased by 15%; Chlorophyll concentration increased by 12%; Proline concentration increased by 18%; MDA concentration decreased by 10%,35S promoter,"Drought Tolerance, Stress Resistance",MdSAP15,,Unknown,Overexpression
6180158.pdf,10.3389/fpls.2018.01453,Nicotiana tabacum,Agrobacterium-mediated overexpression,Cotyledon-specific leaf variegation,RNA levels: 1.8 kb and 2.2 kb transcripts detected; Protein levels: 47 kDa fragment detected,,"Leaf Property, Chloroplast Development",MatK,,Agrobacterium,Overexpression
6184605.pdf,10.1093/jxb/ery300,Oryza sativa,RNAi-mediated suppression,Increased carotenoid content,Leaf carotenoids increased by 1.35-fold; Seed carotenoids increased by 1.4-1.6-fold,,"Above-Ground Biomass Property, Nutrient Utilization","OsCCD1, OsCCD4a, OsCCD4b",,RNAi,Modification
6197697.pdf,10.1371/journal.pgen.1007662,Oryza sativa,Agrobacterium-mediated overexpression,Enhanced root growth and salinity tolerance,Primary root length increased by 40%; Lateral root density increased; ROS levels reduced,OsMADS25 promoter,"Disease Resistance, Salt Tolerance, Root Property, Root Yield",OsMADS25,,Agrobacterium,Overexpression
6197697.pdf,10.1371/journal.pgen.1007662,Oryza sativa,Overexpression via transgenic,Enhanced root growth and salinity tolerance,Primary root length increased by 40%; Lateral root density increased; ROS levels reduced,OsMADS25 promoter,"Disease Resistance, Salt Tolerance, Root Property, Root Yield",OsMADS25,,Unknown,Overexpression
6202352.pdf,10.1038/s41598-018-34104-4,Oryza sativa,Agrobacterium-mediated transformation,High resistance to rice pests,Expression levels: 4.691~5.483 μg/g (leaves); 3.005~3.563 μg/g (stems); 1.369~1.780 μg/g (roots); 1.096~1.181 μg/g (seeds),,"Pest Resistance, Plant Transformation",Cry1Ab/Vip3A fusion,,Agrobacterium,Modification
6206295.pdf,10.3389/fmicb.2018.02449,Arabidopsis thaliana,Virus-Induced Gene Silencing (VIGS) using recombinant polerovirus,Vascular-specific yellowing symptoms,CHLI1 mRNA accumulation reduced by 48.8%; CHLI1 mRNA accumulation reduced by 67.5%,,"Gene Expression, Disease Resistance",CHLI1,,VIGS,Knockdown/Out
6225134.pdf,10.3390/molecules23092373,Oryza sativa,Agrobacterium-mediated transformation,Expression of bioactive lunasin peptide,"Lunasin content detected via UPLC-MS/MS; Antioxidant activity (DPPH, ABTS+, ORAC assays); Anti-inflammatory activity (NO, IL-6, MCP1, TNF-α inhibition)",CaMV35S promoter,"Pharmaceutical Precursors, Antioxidant Activity, Anti-Inflammatory Activity",lunasin,,Agrobacterium,Modification
6225134.pdf,10.3390/molecules23092373,Oryza sativa,Agrobacterium-mediated overexpression,Expression of bioactive lunasin peptide,"Lunasin content detected via UPLC-MS/MS; Antioxidant activity (DPPH, ABTS+, ORAC assays); Anti-inflammatory activity (NO, IL-6, MCP1, TNF-α inhibition)",CaMV35S promoter,"Pharmaceutical Precursors, Antioxidant Activity, Anti-Inflammatory Activity",lunasin,,Agrobacterium,Overexpression
6230254.pdf,10.1186/s12870-018-1452-9,Oryza sativa,EMS-induced point mutation,Short and narrow flag leaf,Flag leaf length: 20.0 ± 0.6 cm; Flag leaf width: 1.0 ± 0.1 cm; Number of longitudinal veins: 6 ± 1,,"Leaf Property, Leaf Yield",SNFL1,,Unknown,Mutation
6230254.pdf,10.1186/s12870-018-1452-9,Oryza sativa,EMS-induced mutation,Short and narrow flag leaf,Flag leaf length: 20.0 ± 0.6 cm; Flag leaf width: 1.0 ± 0.1 cm; Number of longitudinal veins: 6 ± 1,,"Leaf Property, Leaf Yield",SNFL1,,Unknown,Mutation
6239283.pdf,10.1371/journal.pone.0206910,Oryza sativa,Agrobacterium-mediated overexpression,Enhanced disease resistance against bacterial leaf blight,Lesion length reduced to about 4 cm; bacterial growth reduced to 4.3 × 10^6 CFU/ml,Maize ubiquitin promoter,Disease Resistance,OsTGA2,,Agrobacterium,Overexpression
6239283.pdf,10.1371/journal.pone.0206910,Oryza sativa,Overexpression via Agrobacterium-mediated transformation,Enhanced disease resistance against bacterial leaf blight,Lesion length reduced to about 4 cm; bacterial growth reduced to 4.3 × 10^6 CFU/ml,Maize ubiquitin promoter,Disease Resistance,OsTGA2,,Agrobacterium,Overexpression
6266692.pdf,10.3390/genes9110551,Cupriavidus metallidurans,Insertion of IS1088 element,Increased resistance to Co²⁺ and Ni²⁺,2-fold increase in Co²⁺ resistance; 1.2-fold increase in Ni²⁺ resistance,,"Heavy Metal Resistance, Environmental Remediation",cnrY,,Unknown,Modification
6267056.pdf,10.1186/s12870-018-1521-0,Oryza sativa,Agrobacterium-mediated overexpression,Improved salt tolerance,50% increase in cell length; 13-fold increase in OsJAZ8 expression | 44% increase in cell length; 17-fold increase in OsJAZ8ΔC expression | 15% increase in grain filling; 13-fold increase in OsJAZ8ΔC expression | Increased cell elongation; Reduced mortality,ZOS3–11,"Drought Tolerance, Salt Stress Adaptation",OsJAZ8,,Agrobacterium,Overexpression
6267056.pdf,10.1186/s12870-018-1521-0,Oryza sativa,Agrobacterium-mediated overexpression,Improved salt tolerance,50% increase in cell length; 13-fold increase in OsJAZ8 expression | 44% increase in cell length; 17-fold increase in OsJAZ8ΔC expression | 15% increase in grain filling; 13-fold increase in OsJAZ8ΔC expression | Increased cell elongation; Reduced mortality,ZOS3–11,"Salt Stress Adaptation, Cell Elongation",OsJAZ8,,Agrobacterium,Overexpression
6269505.pdf,10.1038/s41438-018-0068-4,Malus domestica,Agrobacterium-mediated transformation,Anthocyanin accumulation,"Anthocyanin content decreased by 5.98-fold at 40 μmol/L NAA compared to 10 μmol/L NAA | Anthocyanin content increased when MdIAA121 was co-expressed with MdARF13 | Expression levels of anthocyanin biosynthesis-related genes decreased when MdARF13 was overexpressed | Relative anthocyanin content decreased with increasing NAA concentrations (5–40 μmol/L); transcript levels of anthocyanin biosynthesis-related genes decreased | Anthocyanin content was higher in cotransfected calli than in calli overexpressing MdARF13 alone | MdARF13 binds directly to the MdDFR promoter, suppressing its expression",,"Above-Ground Biomass Property, Anthocyanin Metabolism",MdARF13,,Agrobacterium,Modification
6269505.pdf,10.1038/s41438-018-0068-4,Malus domestica,Agrobacterium-mediated transformation,Anthocyanin accumulation,"Anthocyanin content decreased by 5.98-fold at 40 μmol/L NAA compared to 10 μmol/L NAA | Anthocyanin content increased when MdIAA121 was co-expressed with MdARF13 | Expression levels of anthocyanin biosynthesis-related genes decreased when MdARF13 was overexpressed | Relative anthocyanin content decreased with increasing NAA concentrations (5–40 μmol/L); transcript levels of anthocyanin biosynthesis-related genes decreased | Anthocyanin content was higher in cotransfected calli than in calli overexpressing MdARF13 alone | MdARF13 binds directly to the MdDFR promoter, suppressing its expression",,"Anthocyanin Biosynthesis, Plant Transformation, Above-Ground Biomass Property",MdARF13,,Agrobacterium,Modification
6274726.pdf,10.3390/ijms19113519,Prunus domestica,Agrobacterium-mediated overexpression,Salt stress tolerance,NPR1 expression increased by 5-fold; TrxH expression increased by 13-fold,,"Drought Tolerance, Disease Resistance",NPR1 and TrxH,,Agrobacterium,Overexpression
6274729.pdf,10.3390/ijms19113291,Arabidopsis thaliana,Agrobacterium-mediated transformation,Reporter gene expression,"GUS expression in young leaf: 10,000 units; GFP expression in young leaf: 6,000 units | Ghrack1 expression in fiber: higher; Ghuhrf1 expression in fiber: highest | GUS expression in leaf tip, apical meristem, stigma, petiole base regions; GFP expression in young leaf trichomes and veins",GhZU,"Gene Expression, Plant Transformation",GhZU,,Agrobacterium,Modification
6274729.pdf,10.3390/ijms19113291,Arabidopsis thaliana,Agrobacterium-mediated transformation,Reporter gene expression,"GUS expression in young leaf: 10,000 units; GFP expression in young leaf: 6,000 units | Ghrack1 expression in fiber: higher; Ghuhrf1 expression in fiber: highest | GUS expression in leaf tip, apical meristem, stigma, petiole base regions; GFP expression in young leaf trichomes and veins",GhZU,"Gene Expression, Above-Ground Biomass Property",GhZU,,Agrobacterium,Modification
6277483.pdf,10.3389/fpls.2018.01570,Arabidopsis thaliana,gene knockout,Reduced auxin responsiveness,GUS activity in stems: 0.004 pmol/min/mg (3KO); 0.009 pmol/min/mg (Col); GUS activity in silique: 0.037 pmol/min/mg (3KO); 0.040 pmol/min/mg (Col) | Ratio of apical to lateral fluorescence: 2.3 ± 1.33 (3KO); 3.3 ± 1.75 (Col),DR5,"Auxin Response, Flowering, Senescence",class XI myosins,,Unknown,Knockdown/Out
6277483.pdf,10.3389/fpls.2018.01570,Arabidopsis thaliana,gene knockout,Reduced auxin responsiveness,GUS activity in stems: 0.004 pmol/min/mg (3KO); 0.009 pmol/min/mg (Col); GUS activity in silique: 0.037 pmol/min/mg (3KO); 0.040 pmol/min/mg (Col) | Ratio of apical to lateral fluorescence: 2.3 ± 1.33 (3KO); 3.3 ± 1.75 (Col),DR5,"Auxin Transport, Flowering, Senescence",class XI myosins,,Unknown,Knockdown/Out
6280492.pdf,10.1186/s12870-018-1539-3,Torenia fournieri,CRISPR/Cas9 knockout,Pale blue (almost white) flowers,"80% of regenerated lines; 4 lines (nos. 5, 9, 10, 19) with faint blue flowers; 3 lines (nos. 22-24) with pale violet flowers",,"Flower Property, Flowering",F3H,,CRISPR/Cas9,Knockdown/Out
6281999.pdf,10.3389/fphys.2018.01730,Nilaparvata lugens,RNA interference (RNAi),"Increased starvation resistance, altered lipid mobilization",68.1% reduction in NIAKHR transcripts at 24 h (P = 0.005); 81.9% reduction at 48 h (P < 0.001),,"Disease Resistance, Lipid Metabolism",AKHR,,RNAi,Knockdown/Out
6286955.pdf,10.1038/s41426-018-0208-9,Bats,Overexpression,Increased susceptibility to MERS-CoV,Viral load increase; mRNA expression level,,"Disease Resistance, Virus Susceptibility",DPP4,,Unknown,Overexpression
6287857.pdf,10.1371/journal.pone.0208948,Triticum turgidum l. ssp. durum,EMS-induced point mutation,Increased β-carotene content,β-carotene increased by 75%; total carotenoid content increased | Lutein content unchanged | Total carotenoid content in grains unchanged | β-carotene increased by 75%; lutein unchanged,,"Above-Ground Biomass Property, Carotenoid Biosynthesis, Nutritional Enhancement",LCYE,,Unknown,Mutation
6287857.pdf,10.1371/journal.pone.0208948,Triticum turgidum l. ssp. durum,EMS-induced point mutation,Increased β-carotene content,β-carotene increased by 75%; total carotenoid content increased | Lutein content unchanged | Total carotenoid content in grains unchanged | β-carotene increased by 75%; lutein unchanged,,"Above-Ground Biomass Property, Carotenoid Biosynthesis",LCYE,,Unknown,Mutation
6288898.pdf,10.1186/s12870-018-1583-z,Arabidopsis thaliana,Overexpression via transgenic Arabidopsis lines,Flowering time,5 days earlier; 2 days earlier than SiCOL2 | 3 days earlier | 43.6 days; 30.7 ± 1.3 days | 5 days earlier flowering (35S::SiCOL1); 3 days earlier flowering (35S::SiCOL2),,"Flowering, Gene Expression",SiCOL1,,Unknown,Overexpression
6288898.pdf,10.1186/s12870-018-1583-z,Arabidopsis thaliana,Overexpression via transgenic Arabidopsis lines,Flowering time,5 days earlier; 2 days earlier than SiCOL2 | 3 days earlier | 43.6 days; 30.7 ± 1.3 days | 5 days earlier flowering (35S::SiCOL1); 3 days earlier flowering (35S::SiCOL2),,"Flowering, Genetic Improvement",SiCOL1,,Unknown,Overexpression
6291987.pdf,10.1186/s12870-018-1547-3,Oryza sativa,T-DNA insertional knockout,Expression levels in different tissues,"Roots: high; Shoots: moderate | Roots: moderate; Shoots: moderate | Roots: low; Shoots: not detectable | Nipponbare: high; LC-93-4: high | Nipponbare: low; LC-93-4: low | Low or undetectable expression in LC-93-4 roots and shoots | Upregulated under ABA treatment | Upregulated under ABA and GA treatments | Decreased plant height, reduced seed weight, shorter panicles | Early flowering, reduced plant height",Contains ABA-related CREs | Contains GA- and ABA-related CREs,Gene Expression,OsSUMO1,,Unknown,Knockdown/Out
6291987.pdf,10.1186/s12870-018-1547-3,Oryza sativa,T-DNA insertional knockout,Expression levels in different tissues,"Roots: high; Shoots: moderate | Roots: moderate; Shoots: moderate | Roots: low; Shoots: not detectable | Nipponbare: high; LC-93-4: high | Nipponbare: low; LC-93-4: low | Low or undetectable expression in LC-93-4 roots and shoots | Upregulated under ABA treatment | Upregulated under ABA and GA treatments | Decreased plant height, reduced seed weight, shorter panicles | Early flowering, reduced plant height",Contains ABA-related CREs | Contains GA- and ABA-related CREs,"Plant Transformation, Fertility",OsSUMO1,,Unknown,Knockdown/Out
6305203.pdf,10.1093/jxb/ery353,Arabidopsis thaliana,Agrobacterium-mediated transformation,Zinc deficiency phenotype,Zinc accumulation in shoots: 34 ppm (WT); 19 ppm (hma2hma4 mutant),A. thaliana HMA4 promoter,"Disease Resistance, Mineral Nutrition",HMA4,,Agrobacterium,Modification
6305203.pdf,10.1093/jxb/ery353,Arabidopsis thaliana,CRISPR/Cas9 knockout,Zinc deficiency phenotype,Zinc accumulation in shoots: 34 ppm (WT); 19 ppm (hma2hma4 mutant),A. thaliana HMA4 promoter,"Disease Resistance, Mineral Nutrition",HMA4,,CRISPR/Cas9,Knockdown/Out
6305590.pdf,10.3389/fpls.2018.01882,Nicotiana benthamiana,Agrobacterium-mediated transient expression,Protein interactions identified,Number of proteins identified: 30; Membrane proteins detected: 5,35S promoter,"Gene Expression, Disease Resistance",AvrPto,,Agrobacterium,Modification
6305590.pdf,10.3389/fpls.2018.01882,Nicotiana benthamiana,BioID system,Protein interactions identified,Number of proteins identified: 30; Membrane proteins detected: 5,35S promoter,"Gene Expression, Disease Resistance",AvrPto,,Unknown,Modification
6324818.pdf,10.1371/journal.pgen.1007880,Arabidopsis thaliana,Loss of Function,Reduced lipid body accumulation in pollen,GPT1 expression reduced by 50%; Lipid body accumulation reduced by 50% | Pollen viability decreased by 32 ± 6%; Germination rate decreased by 36 ± 8% | GPT1 expression increased by 300% | GPT1 expression: 30% of wild type; Lipid staining: 30 ± 6%,GPT1 | PGPT1,"Lipid Biosynthesis, Pollen Development",GPT1,,Unknown,Modification
6324818.pdf,10.1371/journal.pgen.1007880,Arabidopsis thaliana,Loss of Function,Reduced lipid body accumulation in pollen,GPT1 expression reduced by 50%; Lipid body accumulation reduced by 50% | Pollen viability decreased by 32 ± 6%; Germination rate decreased by 36 ± 8% | GPT1 expression increased by 300% | GPT1 expression: 30% of wild type; Lipid staining: 30 ± 6%,GPT1 | PGPT1,"Pollen Development, Gene Expression Regulation",GPT1,,Unknown,Modification
6328498.pdf,10.3389/fpls.2018.01902,Zea mays,Agrobacterium-mediated overexpression,Drought tolerance,Survival rate increased by 40-60%; Relative water content increased by 10-20% | Relative water content: 78.5 ± 3.2%; Survival rate: 60 ± 5%; Water loss rate: 12.3 ± 2.1%; Stomatal density: 18.2 ± 2.5; MDA content: 4.5 ± 0.8 nmol/g; Electrolyte leakage: 1.2 ± 0.3%; APX activity: 4.0 ± 0.6 U/mg; SOD activity: 3.2 ± 0.4 U/mg; Arginine content: 1.2 ± 0.1 μg/g; NO content: 0.8 ± 0.1 μM,Cauliflower mosaic virus 35S promoter,"Drought Tolerance, Stress Response, Plant Transformation",ZmNAGK,,Agrobacterium,Overexpression
6328498.pdf,10.3389/fpls.2018.01902,Zea mays,Agrobacterium-mediated overexpression,Drought tolerance,Survival rate increased by 40-60%; Relative water content increased by 10-20% | Relative water content: 78.5 ± 3.2%; Survival rate: 60 ± 5%; Water loss rate: 12.3 ± 2.1%; Stomatal density: 18.2 ± 2.5; MDA content: 4.5 ± 0.8 nmol/g; Electrolyte leakage: 1.2 ± 0.3%; APX activity: 4.0 ± 0.6 U/mg; SOD activity: 3.2 ± 0.4 U/mg; Arginine content: 1.2 ± 0.1 μg/g; NO content: 0.8 ± 0.1 μM,Cauliflower mosaic virus 35S promoter,"Drought Tolerance, Plant Transformation, Above-Ground Biomass Yield",ZmNAGK,,Agrobacterium,Overexpression
6333679.pdf,10.3389/fmicb.2018.03216,Aeromonas hydrophila,In-frame deletion via restriction enzymes and overlap extension PCR,Reduced virulence,Mortality rate: 33.33%; Survival rate: 91.67% | Mortality rate: 33.33%; Survival rate: 100%,,Disease Resistance,hcp1,,Unknown,Modification
6333679.pdf,10.3389/fmicb.2018.03216,Aeromonas hydrophila,In-frame deletion via restriction enzymes and overlap extension PCR,Reduced virulence,Mortality rate: 33.33%; Survival rate: 91.67% | Mortality rate: 33.33%; Survival rate: 100%,,Disease Resistance,vgrG1,,Unknown,Modification
6337368.pdf,10.3390/ijms20010089,Nicotiana tabacum,Overexpression via Agrobacterium-mediated transformation,Drought and salt stress tolerance,"Root length under stress: MaGα transgenic plants showed shorter roots (P < 0.05); MaGβ, MaGγ1, MaGγ2 transgenic plants showed longer roots (P < 0.05); ROS levels: MaGα overexpression led to higher ROS accumulation; MaGβ, MaGγ1, MaGγ2 overexpression reduced ROS accumulation (P < 0.05)",CaMV35S,"Drought Tolerance, Salt Stress Tolerance, Ros Detoxification, Plant Transformation","MaGα, MaGβ, MaGγ1, MaGγ2",,Agrobacterium,Overexpression
6351596.pdf,10.1038/s41598-018-37352-6,Triticum aestivum,Overexpression via Agrobacterium-mediated transformation,"Improved tolerance to Cd, Zn, Mn; increased translocation of heavy metals from roots to shoots",Cd concentration in shoots: ~50 mg/kg DW; Zn concentration in shoots: ~50 mg/kg DW; Mn concentration in shoots: ~30 mg/kg DW,,Heavy Metal Tolerance; Heavy Metal Translocation,TaCNR2,,Agrobacterium,Overexpression
6353857.pdf,10.3389/fpls.2019.00016,Arabidopsis thaliana,Point Mutation,Reduced trichome branching,Percentage of two-branched trichomes: 54.3%; Percentage of three-branched trichomes: 30.0% | Percentage of unbranched trichomes: 30.0% | Lobe length reduction: 20.0 μm; Neck width reduction: 5.0 μm | Distance from leaf plane: 508 μm | Two-branched trichomes: 85.8%; Three-branched trichomes: 13.9%,,"Above-Ground Biomass Property, Gene Expression",SPIKE1 (SPK1),,Unknown,Mutation
6353857.pdf,10.3389/fpls.2019.00016,Arabidopsis thaliana,Point Mutation,Reduced trichome branching,Percentage of two-branched trichomes: 54.3%; Percentage of three-branched trichomes: 30.0% | Percentage of unbranched trichomes: 30.0% | Lobe length reduction: 20.0 μm; Neck width reduction: 5.0 μm | Distance from leaf plane: 508 μm | Two-branched trichomes: 85.8%; Three-branched trichomes: 13.9%,,"Leaf Property, Leaf Yield",SPIKE1 (SPK1),,Unknown,Mutation
6359579.pdf,10.3390/ijms20020367,Solanum lycopersicum,Agrobacterium-mediated transformation,Enhanced thermotolerance,Higher fresh weight; increased chlorophyll content; higher fluorescence (Fv/Fm); lower ROS accumulation | Lower fresh weight; decreased chlorophyll content; lower fluorescence (Fv/Fm); higher ROS accumulation,CaMV35S,"Drought Tolerance, Disease Resistance, Photosynthesis",SlDnaJ20,,Agrobacterium,Modification
6359579.pdf,10.3390/ijms20020367,Solanum lycopersicum,Agrobacterium-mediated transformation,Increased heat sensitivity,Higher fresh weight; increased chlorophyll content; higher fluorescence (Fv/Fm); lower ROS accumulation | Lower fresh weight; decreased chlorophyll content; lower fluorescence (Fv/Fm); higher ROS accumulation,CaMV35S,"Drought Tolerance, Disease Resistance, Photosynthesis",SlDnaJ20,,Agrobacterium,Modification
6360591.pdf,10.1155/2019/2182865,Morus multicaulis,Overexpression,Improved glucose regulation,PI3K protein level/GAPDH: 0.8; p-AKT protein level/GAPDH: 0.7; FoxO1/GAPDH: 0.08 | PI3K protein level/GAPDH: 0.8; mRNA expression in liver: 0.4 | p-AKT protein level/GAPDH: 0.7; mRNA expression in liver: 0.6,,"Gene Expression, Diabetes Resistance",FoxO1,,Unknown,Overexpression
6360591.pdf,10.1155/2019/2182865,Morus multicaulis,Overexpression,Improved glucose regulation,PI3K protein level/GAPDH: 0.8; p-AKT protein level/GAPDH: 0.7; FoxO1/GAPDH: 0.08 | PI3K protein level/GAPDH: 0.8; mRNA expression in liver: 0.4 | p-AKT protein level/GAPDH: 0.7; mRNA expression in liver: 0.6,,"Gene Expression, Diabetes Resistance",PI3K,,Unknown,Overexpression
6366713.pdf,10.1371/journal.ppat.1007534,Solanum lycopersicum,Virus-induced gene silencing (VIGS),Stunted and curled leaves,vsRNA levels increased; SlLNR1 expression decreased | SlLNR1 expression increased; TYLCV accumulation decreased | TYLCV accumulation increased | Downregulation of SlLNR1 by IR-derived vsRNAs; Increased TYLCV accumulation in SlLNR1-silenced plants,,"Disease Resistance, Gene Expression",SlLNR1,,VIGS,Knockdown/Out
6366713.pdf,10.1371/journal.ppat.1007534,Solanum lycopersicum,Virus-induced gene silencing (VIGS),Stunted and curled leaves,vsRNA levels increased; SlLNR1 expression decreased | SlLNR1 expression increased; TYLCV accumulation decreased | TYLCV accumulation increased | Downregulation of SlLNR1 by IR-derived vsRNAs; Increased TYLCV accumulation in SlLNR1-silenced plants,,"Disease Resistance, Leaf Property",SlLNR1,,VIGS,Knockdown/Out
6368714.pdf,10.1186/s12985-019-1126-8,Nicotiana benthamiana,Agrobacterium-mediated expression,"Fluorescence, symptom development, RNA silencing suppression",Fluorescence intensity at 6 dpi; symptom severity at 30 dpi,35S,"Disease Resistance, Virus Suppression",ASPV CP,,Agrobacterium,Modification
6371838.pdf,10.3389/fpls.2019.00056,Arabidopsis thaliana,Agrobacterium-mediated T-DNA transfer,"Hypoxic Response, Crown Gall Development",Gall fresh weight: Wild type vs. mutants; Oxygen consumption rate: 2.5 times increase in galls,"Promoter of PCO1 gene, HRPEx5 promoter","Above-Ground Biomass Property, Disease Resistance, Plant Transformation","PCO1, PCO2, ERF-VII",,Agrobacterium,Modification
6371838.pdf,10.3389/fpls.2019.00056,Arabidopsis thaliana,"Overexpression, Knockout","Hypoxic Response, Crown Gall Development",Gall fresh weight: Wild type vs. mutants; Oxygen consumption rate: 2.5 times increase in galls,"Promoter of PCO1 gene, HRPEx5 promoter","Above-Ground Biomass Property, Disease Resistance, Plant Transformation","PCO1, PCO2, ERF-VII",,Unknown,Overexpression
6372540.pdf,10.3389/fpls.2019.00084,Vitis vinifera,Agrobacterium-mediated transformation,Trans-graft protection against Pierce's disease,30-95% reduction in vine mortality; lower pathogen titers; fewer disease symptoms | 30-95% reduction in vine mortality; lower pathogen titers; fewer disease symptoms; increased spring bud break,,"Disease Resistance, Plant Transformation",HNE-CecB,,Agrobacterium,Modification
6372540.pdf,10.3389/fpls.2019.00084,Vitis vinifera,Agrobacterium-mediated transformation,Protection against Pierce's disease,30-95% reduction in vine mortality; lower pathogen titers; fewer disease symptoms | 30-95% reduction in vine mortality; lower pathogen titers; fewer disease symptoms; increased spring bud break,,"Disease Resistance, Plant Transformation",HNE-CecB,,Agrobacterium,Modification
6385007.pdf,10.3390/molecules24030556,Solanum lycopersicum,Agrobacterium-mediated overexpression,Increased tolerance to cadmium and drought stress,Germination rate increased by 15-20%; Chlorophyll content increased by 38.01%; Root fresh weight increased by 57.6%; Root activity increased by 2.18 fold,CaMV 35S promoter,Drought Tolerance; Disease Resistance,SlMAPK3,,Agrobacterium,Overexpression
6391353.pdf,10.3389/fpls.2019.00134,Gossypium hirsutum,Agrobacterium-mediated overexpression and RNA interference (RNAi),Enhanced resistance to Verticillium dahliae,Disease index: 1.5 ± 0.3 (OE lines) vs 3.0 ± 0.4 (WT); Fungal recovery assay: 0.8 ± 0.1 (OE lines) vs 1.5 ± 0.2 (WT) | Disease index: 4.2 ± 0.5 (RNAi lines) vs 3.0 ± 0.4 (WT); Fungal recovery assay: 2.0 ± 0.3 (RNAi lines) vs 1.5 ± 0.2 (WT),,Disease Resistance,GhRD21-7,,Agrobacterium,Overexpression
6391353.pdf,10.3389/fpls.2019.00134,Gossypium hirsutum,Agrobacterium-mediated overexpression and RNA interference (RNAi),Increased susceptibility to Verticillium dahliae,Disease index: 1.5 ± 0.3 (OE lines) vs 3.0 ± 0.4 (WT); Fungal recovery assay: 0.8 ± 0.1 (OE lines) vs 1.5 ± 0.2 (WT) | Disease index: 4.2 ± 0.5 (RNAi lines) vs 3.0 ± 0.4 (WT); Fungal recovery assay: 2.0 ± 0.3 (RNAi lines) vs 1.5 ± 0.2 (WT),,Disease Resistance,GhRD21-7,,Agrobacterium,Overexpression
6393331.pdf,10.3389/fpls.2019.00200,Nicotiana tabacum,Agrobacterium-mediated overexpression,Enhanced drought stress tolerance,Relative Water Content (RWC): 70-75%; Chlorophyll Content: 1500 μg/g FW; H2O2 Content: 600-800 nmol/g FW; O2− Content: 3-4 nmol/g FW,CaMV35S constitutive promoter,"Drought Tolerance, Stress Response, Photosynthesis",LcSABP,,Agrobacterium,Overexpression
6399211.pdf,10.3389/fpls.2019.00216,Solanum lycopersicum,RNA interference (RNAi),Decreased vascular ring area and number of vascular bundles,Vascular ring area: 350 μm²; Number of vascular bundles: 10 | Vascular ring area: 500 μm²; Number of vascular bundles: 14 | Fruit weight: 2.5g; Seedless fruits: 60% | Vascular ring area: 500 μm²,SlDOF10 promoter | CaMV 35S,"Plant Transformation, Vascular Tissue Development",SlDOF10,,RNAi,Knockdown/Out
6399211.pdf,10.3389/fpls.2019.00216,Solanum lycopersicum,RNA interference (RNAi),Decreased vascular ring area and number of vascular bundles,Vascular ring area: 350 μm²; Number of vascular bundles: 10 | Vascular ring area: 500 μm²; Number of vascular bundles: 14 | Fruit weight: 2.5g; Seedless fruits: 60% | Vascular ring area: 500 μm²,SlDOF10 promoter | CaMV 35S,"Fruit Property, Fruit Yield",SlDOF10,,RNAi,Knockdown/Out
6411371.pdf,10.1093/jxb/erz077,Triticum aestivum,Agrobacterium-mediated overexpression,Increased yield and water use efficiency,6% larger yield; 9.4% greater water use efficiency | 20-30% increase in grain yield | 20-30% increase in grain yield; increased spikes production | Increased SBPase protein levels; enhanced total biomass; increased dry seed yield,,"Drought Tolerance, Grain Yield",HaHB4,,Agrobacterium,Overexpression
6411371.pdf,10.1093/jxb/erz077,Triticum aestivum,Agrobacterium-mediated overexpression,Increased yield and water use efficiency,6% larger yield; 9.4% greater water use efficiency | 20-30% increase in grain yield | 20-30% increase in grain yield; increased spikes production | Increased SBPase protein levels; enhanced total biomass; increased dry seed yield,,Grain Yield,HaHB4,,Agrobacterium,Overexpression
