Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,,Mod_Method,Mod_Direction
5768580.pdf,10.1186/s40529-018-0219-9,arabidopsis thaliana,agrobacterium-mediated overexpression using the 35s promoter,"increased aba levels, delayed seed germination, sugar oversensitivity, enhanced drought tolerance",aba levels increased; germination rate decreased by 20% under high glucose,35s promoter,"drought tolerance, aba biosynthesis, stress response",osnced4,,agrobacterium,overexpression
5775602.pdf,10.1186/s12870-018-1232-6,arabidopsis thaliana,agrobacterium-mediated overexpression using the pcamv35s promoter,early-flowering; enhanced salt tolerance,reduced rosette leaf count at flowering; increased lateral root development; higher auxin content; reduced ros accumulation,camv35s,"flowering, salt tolerance, auxin biosynthesis",mdy3ip1,,agrobacterium,overexpression
5778664.pdf,10.1186/s12870-018-1231-7,juglans regia,overexpression via agrobacterium-mediated transformation,increased cdcl2 tolerance; enhanced aba signaling,germination rate increased by 1.10–1.51-fold; fresh weight increased by 1.26–1.55-fold; ros accumulation decreased by 2.08–2.75-fold,1200 bp promoter fragment containing mybcore motif,heavy metal stress resistance; abiotic stress response,jrvhag1,,agrobacterium,overexpression
5784973.pdf,10.1371/journal.pone.0191681,gossypium hirsutum,agrobacterium-mediated overexpression,precocious leaf senescence,relative expression of atsag12: 2.5-fold increase; relative expression of atsag13: 3.0-fold increase; relative expression of atwrky53: 1.8-fold increase,camv35s promoter,"leaf property, leaf yield, disease resistance",ghwrky17,,agrobacterium,overexpression
5785357.pdf,10.1111/pbi.12774,hevea brasiliensis,agrobacterium tumefaciens-mediated genetic modification,enhanced growth and tolerance to abiotic stress,increased plant height; increased plant weight; increased starch accumulation | increased starch reserves; increased latex cell differentiation,camv 35s and hev2.1,"above-ground biomass property, stress tolerance, latex production",hberf-ixc5,,agrobacterium,modification
5786559.pdf,10.3389/fpls.2017.02234,arabidopsis thaliana,gene silencing,"root growth inhibition, epidermal cell bulging, severe alterations in root tip tissues, cell wall stubs, increased ros, ectopic lignin deposition, increased ja levels",root growth inhibition; epidermal cell bulging; severe alterations in root tip tissues; cell wall stubs; increased ros; ectopic lignin deposition; increased ja levels | reduced cellulose content; increased hemicellulose/pectin fraction | increased ros accumulation; increased lignin deposition,,"above-ground biomass property, biosensing, bud dormancy, biofuel precursors, gene expression, above-ground biomass yield, carbon capture, flowering, chemicals, genome editing, fruit property, carbon storage, photomorphogenesis, material precursors, plant transformation, fruit yield, disease resistance, photosynthesis, pharmaceutical precursors, leaf property, drought tolerance, seed dormancy, leaf yield, herbicide resistance, transport processes, post-harvest shelf life, nutrient utilization, root property, pest resistance, root yield, phytoremediation, seed property, storage, seed yield, symbiosis, wood biomass property, water utilization, wood biomass yield","anp1, anp2, anp3",,unknown,knockdown/out
5787823.pdf,10.1111/pbi.12804,nicotiana tabacum,agrobacterium-mediated overexpression,enhanced verticillium wilt resistance,plant height: 10 cm (wt); 8 cm (ve1 transgenic); disease severity: 30% (wt); 10% (ve1 transgenic),camv 35s,disease resistance,ve1,,agrobacterium,overexpression
5799319.pdf,10.1038/s41598-018-20919-8,glycine max,transgenic overexpression using a constitutive promoter,"increased cysteine, glutathione, and homoglutathione levels in nodules",cysteine: 2.19; glutathione: 1.26; homoglutathione: 2.87 | glucose: 0.74; fructose: 0.64; sucrose: 0.8 | lactate: 1.23; malate: 0.79 | cysteine: 2.2-fold increase; glutathione: nearly doubled; homoglutathione: nearly doubled,,"nitrogen fixation, sulfur assimilation",oass,,unknown,overexpression
5807399.pdf,10.1038/s41598-018-21148-9,arabidopsis thaliana,constitutive expression via transgenic transformation,salt and drought tolerance,survival rate: 85%; fresh weight: 1.5 g; electrolyte leakage: 30%,constitutive promoter,"drought tolerance, disease resistance",ahal1,,unknown,modification
5817874.pdf,10.2174/1389202918666170228134530,oryza sativa,overexpression,salt stress tolerance,fold change in mirna expression; mirna target prediction,,"disease resistance, stress tolerance",glyoxalase,,unknown,overexpression
5817875.pdf,10.2174/1389202918666170705162405,glycine max,transgenic,glyphosate resistance,glyphosate application; increased resistance,,herbicide resistance,epsps,,unknown,modification
5821886.pdf,10.1038/s41598-018-21672-8,solanum lycopersicum,rna interference (rnai),"delayed fruit ripening, reduced ethylene production, decreased carotenoid accumulation",ethylene production decreased by ~50%; carotenoid content reduced by ~30%; lycopene content reduced by ~25%,,"fruit property, fruit yield, photosynthesis",slcmb1,,rnai,knockdown/out
5834160.pdf,10.1371/journal.pone.0192945,picea abies,rna interference (rnai),"impaired apical-basal patterning, necrotic cell death",length of suspensor cells: 200 μm vs 300 μm (control); frequency of necrotic cells: 10-fold increase,nip (nodulin-like intrinsic protein) promoter,"gene expression, disease resistance",pabi-1,,rnai,knockdown/out
5835687.pdf,10.3389/fpls.2018.00149,petunia × hybrida,agrobacterium-mediated overexpression,orange flower color,pelargonidin content: 81 ± 1.4%; cyanidin content: 89 ± 1.8%; delphinidin content: 80 ± 1.9%,35s promoter,"flower property, anthocyanin production",a1,,agrobacterium,overexpression
5852180.pdf,10.1007/s00122-017-3043-9,triticum aestivum,biolistic transformation,improved powdery mildew resistance,"audpc scores in field trials: 0 (completely resistant); 179, 99 (parental lines); 104, 35 (pyramided lines)",,"disease resistance, plant transformation",pm3,,unknown,modification
5861414.pdf,10.1093/nar/gky025,oryza sativa,transposon insertion,expression and translation,40.1% expressed; 9% translated,tirs,"gene expression, above-ground biomass property",pack-mules,,unknown,modification
5864073.pdf,10.1371/journal.pone.0194900,enterococcus faecalis,markerless in-frame deletion using a two-step transformation protocol with soe-pcr,protease activity,protease activity reduced in tx5128 strain,,disease resistance,atls,,unknown,modification
5870552.pdf,10.3389/fpls.2018.00364,oryza sativa,t-dna insertional knockout,"leaf rolling, chlorotic phenotype",leaf width decreased by 42%; number of large veins decreased by 68%; number of small veins decreased by 59% | leaf width: wt 20 mm; rfs-1 15 mm; large veins: wt 6; rfs-1 4; small veins: wt 30; rfs-1 20,,"leaf property, photosynthesis, oxidative stress response",rfs,,unknown,knockdown/out
5873917.pdf,10.1534/g3.118.200040,arabidopsis thaliana,overexpression,dwarf phenotype; reduced apical dominance; smaller rosette leaves; retarded root growth; delayed senescence,elevated levels of cytokinin nucleotides and nucleosides: trans-zeatin riboside (tzr); trans-zeatin riboside monophosphate (tzrmp); n6-(δ2-isopentenyl)adenosine monophosphate (iprmp) | reduced apical dominance; smaller rosette leaves; retarded root growth; delayed senescence,,"gene expression, plant transformation, leaf property",sob5,,unknown,overexpression
5876330.pdf,10.1038/s41598-018-23738-z,zea mays,transgenic,resistance to bt proteins,lc50 values for cry34/35ab1: 6.28 (2.60–22.64) µg/cm²; ec50 values for cry34/35ab1: 2.01 (0.33–12.05) µg/cm²; mic50 values for cry34/35ab1: 0.96 (0.33–2.85) µg/cm² | lc50 values; ec50 values; mic50 values,,"herbicide resistance, pest resistance","bt proteins (cry34/35ab1, ecry3.1ab, mcry3a, cry3bb1)",,unknown,modification
5886685.pdf,10.1371/journal.pone.0195556,arabidopsis thaliana,agrobacterium-mediated overexpression using the 35s::ghglip-gfp vector,"enhanced seed development, increased soluble sugar and protein storage",seed length increase: 15.6%; seed fresh weight increase: 35.9%,35s promoter,"seed property, seed yield",ghglip,,agrobacterium,overexpression
5893645.pdf,10.3389/fpls.2018.00395,zea mays,agrobacterium-mediated overexpression,reduced growth and development,hypocotyl length: 3.2 mm (oe9); stem length: 0.53 cm (oe9); petiole length: 3.14 mm (oe9); leaf area: 0.72 cm² (oe9),camv 35s,"drought tolerance, above-ground biomass property, above-ground biomass yield, plant transformation",zmdreb4.1,,agrobacterium,overexpression
5895030.pdf,10.1371/journal.pone.0195559,hyaloperonospora arabidopsidis,gateway-mediated cloning and expression via type iii secretion system,suppression of callose deposition,mean callose deposition per leaf surface: 100 (harxl23); 150 (avre1); 300 (wt),,"disease resistance, plant transformation",harxl23,,unknown,modification
5902044.pdf,10.1371/journal.pgen.1007323,oryza sativa,agrobacterium-mediated overexpression,flag leaf angle (fla),increased fla; increased tiller side leaf angle (tsla) | increased leaf angle in transgenic plants,,"above-ground biomass property, leaf property, plant transformation","osbhlh153, osbhlh173, osbhlh174",,agrobacterium,overexpression
5935052.pdf,10.3389/fpls.2018.00559,solanum lycopersicum,crispr/cas9-mediated multiplex genome editing,increased lycopene content,lycopene content increased by 5.1-fold; β-carotene content decreased by 50%,,"above-ground biomass property, chemicals","lcy-b1, lcy-b2, lcy-e, blc, sgr1",,crispr/cas9,modification
5945058.pdf,10.1371/journal.pgen.1007374,zea mays,crispr-cas9 knockout,"developmental arrest, lethality at seedling stage",plant height; cell death,,"developmental regulation, disease resistance",xlgs,,crispr/cas9,knockdown/out
5958304.pdf,10.3389/fpls.2018.00596,medicago truncatula,agrobacterium-mediated overexpression,enhanced nucleolar activity,enlarged nucleolar area: 44% expansion compared to ctrl; increased frequency of multinucleolate cells: up to 4.3-fold compared to ctrl,,"gene expression, above-ground biomass property",mttdp2α,,agrobacterium,overexpression
5962775.pdf,10.3389/fpls.2018.00619,n. benthamiana,particle bombardment (biolistic transformation),formation of ntrem-dsred aggregates,number of aggregates per 1000 μm²: 3.7; size of aggregates: 0.24 μm²,,disease resistance,ntrem1.2,,biolistics,modification
5963795.pdf,10.1371/journal.pone.0197907,plant,transgenic yeast strain-based assay,estrogenic activity,0.073 pg g–1; 0.030 pg g–1 | 216.21 ng g–1; 120.22 ng g–1,,gene expression,er,,unknown,modification
5968463.pdf,10.1186/s12985-018-1004-9,cucurbita,agrobacterium-mediated gfp expression,gfp fluorescence in leaves,detectable at 25 dpi; cell spread observed; phloem-limited localization at 30-50 dpi,,gene expression,,,agrobacterium,modification
5972670.pdf,10.3389/fpls.2018.00655,arabidopsis thaliana,agrobacterium-mediated overexpression using the sag12 promoter,enhanced cytokinin levels during stress,active cytokinins increased by 10-fold; growth rate recovery 21% higher,sag12,"drought tolerance, plant transformation",ipt,,agrobacterium,overexpression
5972938.pdf,10.1080/21655979.2017.1325041,ulva prolifera,particle bombardment (biolistic pds-1000/he system),promoter activity,gus activity of upa1 fragment: 245.34 pmol mu min⁻¹ mg⁻¹ protein; gus activity of upa1ni fragment: 148.96 pmol mu min⁻¹ mg⁻¹ protein,upactin1 5' flanking region,"gene expression, plant transformation",upactin1,,biolistics,modification
5983674.pdf,10.3390/ijms19051403,capsicum annuum,agrobacterium-mediated transient overexpression,intensive cell death (hr) in pepper leaves,ion leakage increased by 30%; cell death area increased by 40%,35s promoter,"gene expression, disease resistance",cawrky40b,,agrobacterium,overexpression
5983727.pdf,10.3390/ijms19051465,triticum aestivum,bsmv-induced gene silencing (bsmv-vigs),reduced tolerance to water deficiency,fresh weight: 0.22 ± 0.006 g/plant; dry weight: 0.06 ± 0.020 g/plant,,drought tolerance,taerfl1a,,vigs,knockdown/out
5989354.pdf,10.3389/fpls.2018.00718,arabidopsis thaliana,t-dna insertional knockout,salt stress tolerance,survival rate: 100%; relative root length: 89%; water loss: 40% | survival rate: 58%; relative root length: 32%; water loss: 40% | survival rate: 100%; relative root length: 89% | survival rate: 58%; relative root length: 32% | relative root length: 85% | relative root length: 24% | shoot k+ content: 100 µm,,"drought tolerance, salt stress tolerance, abiotic stress response",atunc-93,,unknown,knockdown/out
6018531.pdf,10.3389/fpls.2018.00720,glycine max,agrobacterium-mediated overexpression,chlorophyll content,chlorophyll a: 2.5 mg/g; chlorophyll b: 0.8 mg/g,camv 35s,"photosynthesis, chlorophyll biosynthesis","gmchli, gmchld, gmchlh",,agrobacterium,overexpression
6021276.pdf,10.1186/s12284-018-0230-5,oryza sativa,agrobacterium-mediated overexpression using the 35s promoter,enhanced heat tolerance,survival rate: 90.0-90.6% (wt); 46.9-60.0% (overexpression lines),35s promoter,"drought tolerance, heat tolerance",osmdhar4,,agrobacterium,overexpression
6037855.pdf,10.3389/fbioe.2018.00088,agrostis stolonifera,transgenic,persistent and spreading,"hundreds of plants; 100 sq. km. area | hundreds of plants; 400+ in japan; 13 in switzerland | 22% of plants sampled | multiple sites in 4 regions of mexico | over 100 transgenic plants out of 404 sites | single agricultural field in each of oregon, montana, washington",,herbicide resistance,glyphosate tolerance,,unknown,modification
6037947.pdf,10.3389/fpls.2018.00916,solanum lycopersicum,crispr/cas9 knockout,large deletions between target sites,38% mutation rate for grna1; 7% mutation rate for grna2,slef1α,"disease resistance, genome editing",slnadk2a,,crispr/cas9,knockdown/out
6040142.pdf,10.3389/fpls.2018.00957,solanum lycopersicum,virus-induced gene silencing (vigs),leaf shape development,leaflet initiation increased; iaa content increased | leaf complexity decreased | leaflet number increased; iaa content increased,camv 35s,"leaf property, leaf yield",slarf6a,,vigs,knockdown/out
6043853.pdf,10.15252/embj.201798482,arabidopsis thaliana,agrobacterium-mediated transformation,immune-responsive gene activation,"gus protein accumulation at 24hpi: mock (0%), flg22 (40%), ptoδ28e (80%)",atcopia93 ltr,"immune response, transcriptional regulation",atcopia93,,agrobacterium,modification
6073119.pdf,10.3390/ijms19072085,arabidopsis thaliana,agrobacterium-mediated constitutive expression,"early flowering, variations in plant architecture",days to bolting: 20.8 days; rosette leaves: 12.4 leaves,,"flowering, above-ground biomass property",afspl14,,agrobacterium,modification
6073778.pdf,10.3390/ijms19072144,arabidopsis thaliana,crispr/cas9 knockout,reduced cg methylation,cg methylation decreased by 15.2%,,"dna methylation, epigenetic regulation",met1,,crispr/cas9,knockdown/out
6082570.pdf,10.1371/journal.ppat.1007201,laodelphax striatellus,rna interference (rnai),sugar transporter 6 interaction with viral proteins,"expression levels of lsst6 in different tissues: gut (highest), hemolymph, salivary glands, ovary (lowest)",,"gene expression, disease resistance",lsst6,,rnai,knockdown/out
6093868.pdf,10.1038/s41598-018-30711-3,arabidopsis thaliana,crispr/cas9 knockout,growth adaptation to metal ions,hypocotyl elongation on ni²+; root growth on cd²+ and zn²+,,"disease resistance, photosynthesis, transport processes","mds1, mds2, mds3, mds4",,crispr/cas9,knockdown/out
6096048.pdf,10.3389/fmicb.2018.01849,alishewanella sp. wh16-1,tn5 transposon mutagenesis,decreased chromate and sulfide resistance,mic of cr(vi) for mutant strain: 3 mm; mic of cr(vi) for wild-type strain: 45 mm,,"disease resistance, chemicals",cytbd,,unknown,modification
6121541.pdf,10.3390/ijms19082217,arabidopsis thaliana,agrobacterium-mediated overexpression,early flowering,flowering time; floral integrator gene expression,camv 35s,flowering,lfmads4,,agrobacterium,overexpression
6121582.pdf,10.3390/ijms19082231,arabidopsis thaliana,t-dna insertional knockout,variegated pale-green leaves,increased nuclear isoform of why1; decreased plastid isoform of why1 | decreased chlorophyll content; increased ros production | increased chlorophyll content; decreased ros production | decreased nuclear isoform of why1; increased plastid isoform of why1 | chlorophyll content decreased; fv/fm decreased | chlorophyll content unchanged; fv/fm decreased,,"leaf property, leaf yield",cipk14,,unknown,knockdown/out
6130404.pdf,10.1073/pnas.1810458115,arabidopsis thaliana,mutation,achlorophyllous guard cells with impaired stomatal responses,chlorophyll fluorescence in guard cells: 12.2 ± 1.2% (type i); 70.0 ± 1.5% (type ii); 17.8 ± 1.5% (type iii) | chlorophyll fluorescence in guard cells: wt vs mutant,,"photosynthesis, leaf property, stomatal function",gles1,,unknown,mutation
6141746.pdf,10.3389/fpls.2018.01307,arabidopsis thaliana,overexpression,"increased carotenoid content, enhanced salt and drought tolerance",carotenoid content increased by 1.13–1.16 folds in leaves; 1.32–1.78 folds in seeds,,"carotenoid biosynthesis, salt tolerance, drought tolerance",ibarf5,,unknown,overexpression
6148777.pdf,10.1186/s12870-018-1431-1,torenia fournieri,agrobacterium-mediated overexpression,abnormal petal epidermal cells and changes in flower shape,epidermal cell size increased; petal color intensity decreased | leaf shape changed; mesophyll cell density decreased,35s,"above-ground biomass property, flowering",tfalog1,,agrobacterium,overexpression
6151947.pdf,10.1186/s13007-018-0351-2,arabidopsis thaliana,agrobacterium-mediated transformation,reduced luc activity; efficient silencing of target genes,luc activity reduction: 65%; target gene expression reduction: ~90%,35s promoter,"gene expression, disease resistance",ffgluc,,agrobacterium,modification
6152798.pdf,10.7554/elife.39742,nematostella vectensis,crispr-cas9 knockout,delayed metamorphosis,80% null mutants metamorphosed by 5dpf (n=35); 78.6% wildtype by 5dpf (n=56); null mutants treated with glwamide showed 84% metamorphosis by 8dpf (n=9),,"developmental timing, disease resistance",glwamide,,crispr/cas9,knockdown/out
6156261.pdf,10.3389/fpls.2018.01361,oryza sativa,crispr/cas9 knockout,enhanced resistance to bacterial blight,deletion of nine nucleotides from the promoter region | deletion of seven nucleotides from the promoter region,,disease resistance,ossweet14,,crispr/cas9,knockdown/out
6163212.pdf,10.3390/ijms19092827,oryza sativa,agrobacterium-mediated overexpression,increased nitrogen utilization efficiency (nue),leaf n content increased by 15%; grain yield increased by 35% | leaf n content increased by 18%; grain yield increased by 35%,,"nitrogen utilization, above-ground biomass yield",pp2c9,,agrobacterium,overexpression
6164191.pdf,10.3390/ijms19092579,arabidopsis thaliana,overexpression via camv35s promoter,enhanced cold tolerance,germination rate: 85%; fv/fm: 0.85; ec: 15%; survival rate: 90%,camv35s,"disease resistance, cold tolerance",pscor413pm2,,unknown,overexpression
6164405.pdf,10.3390/ijms19092761,malus × domestica,agrobacterium-mediated overexpression,increased nitrogen uptake under low-nitrogen conditions,biomass production increased by 11-12 fold; fresh weight significantly higher than wild type,35s promoter,"disease resistance, nitrogen utilization",mdnpf6.5,,agrobacterium,overexpression
6164895.pdf,10.3390/ijms19092478,arabidopsis thaliana,overexpression,enhanced drought and osmotic stress tolerance,root length increased by 20%; fresh weight increased by 15%; chlorophyll concentration increased by 12%; proline concentration increased by 18%; mda concentration decreased by 10%,35s promoter,"drought tolerance, stress resistance",mdsap15,,unknown,overexpression
6180158.pdf,10.3389/fpls.2018.01453,nicotiana tabacum,agrobacterium-mediated overexpression,cotyledon-specific leaf variegation,rna levels: 1.8 kb and 2.2 kb transcripts detected; protein levels: 47 kda fragment detected,,"leaf property, chloroplast development",matk,,agrobacterium,overexpression
6184605.pdf,10.1093/jxb/ery300,oryza sativa,rnai-mediated suppression,increased carotenoid content,leaf carotenoids increased by 1.35-fold; seed carotenoids increased by 1.4-1.6-fold,,"above-ground biomass property, nutrient utilization","osccd1, osccd4a, osccd4b",,rnai,modification
6197697.pdf,10.1371/journal.pgen.1007662,oryza sativa,agrobacterium-mediated overexpression,enhanced root growth and salinity tolerance,primary root length increased by 40%; lateral root density increased; ros levels reduced,osmads25 promoter,"disease resistance, salt tolerance, root property, root yield",osmads25,,agrobacterium,overexpression
6202352.pdf,10.1038/s41598-018-34104-4,oryza sativa,agrobacterium-mediated transformation,high resistance to rice pests,expression levels: 4.691~5.483 μg/g (leaves); 3.005~3.563 μg/g (stems); 1.369~1.780 μg/g (roots); 1.096~1.181 μg/g (seeds),,"pest resistance, plant transformation",cry1ab/vip3a fusion,,agrobacterium,modification
6206295.pdf,10.3389/fmicb.2018.02449,arabidopsis thaliana,virus-induced gene silencing (vigs) using recombinant polerovirus,vascular-specific yellowing symptoms,chli1 mrna accumulation reduced by 48.8%; chli1 mrna accumulation reduced by 67.5%,,"gene expression, disease resistance",chli1,,vigs,knockdown/out
6225134.pdf,10.3390/molecules23092373,oryza sativa,agrobacterium-mediated transformation,expression of bioactive lunasin peptide,"lunasin content detected via uplc-ms/ms; antioxidant activity (dpph, abts+, orac assays); anti-inflammatory activity (no, il-6, mcp1, tnf-α inhibition)",camv35s promoter,"pharmaceutical precursors, antioxidant activity, anti-inflammatory activity",lunasin,,agrobacterium,modification
6230254.pdf,10.1186/s12870-018-1452-9,oryza sativa,ems-induced point mutation,short and narrow flag leaf,flag leaf length: 20.0 ± 0.6 cm; flag leaf width: 1.0 ± 0.1 cm; number of longitudinal veins: 6 ± 1,,"leaf property, leaf yield",snfl1,,unknown,mutation
6239283.pdf,10.1371/journal.pone.0206910,oryza sativa,agrobacterium-mediated overexpression,enhanced disease resistance against bacterial leaf blight,lesion length reduced to about 4 cm; bacterial growth reduced to 4.3 × 10^6 cfu/ml,maize ubiquitin promoter,disease resistance,ostga2,,agrobacterium,overexpression
6266692.pdf,10.3390/genes9110551,cupriavidus metallidurans,insertion of is1088 element,increased resistance to co²⁺ and ni²⁺,2-fold increase in co²⁺ resistance; 1.2-fold increase in ni²⁺ resistance,,"heavy metal resistance, environmental remediation",cnry,,unknown,modification
6267056.pdf,10.1186/s12870-018-1521-0,oryza sativa,agrobacterium-mediated overexpression,improved salt tolerance,50% increase in cell length; 13-fold increase in osjaz8 expression | 44% increase in cell length; 17-fold increase in osjaz8δc expression | 15% increase in grain filling; 13-fold increase in osjaz8δc expression | increased cell elongation; reduced mortality,zos3–11,"drought tolerance, salt stress adaptation",osjaz8,,agrobacterium,overexpression
6269505.pdf,10.1038/s41438-018-0068-4,malus domestica,agrobacterium-mediated transformation,anthocyanin accumulation,"anthocyanin content decreased by 5.98-fold at 40 μmol/l naa compared to 10 μmol/l naa | anthocyanin content increased when mdiaa121 was co-expressed with mdarf13 | expression levels of anthocyanin biosynthesis-related genes decreased when mdarf13 was overexpressed | relative anthocyanin content decreased with increasing naa concentrations (5–40 μmol/l); transcript levels of anthocyanin biosynthesis-related genes decreased | anthocyanin content was higher in cotransfected calli than in calli overexpressing mdarf13 alone | mdarf13 binds directly to the mddfr promoter, suppressing its expression",,"above-ground biomass property, anthocyanin metabolism",mdarf13,,agrobacterium,modification
6274726.pdf,10.3390/ijms19113519,prunus domestica,agrobacterium-mediated overexpression,salt stress tolerance,npr1 expression increased by 5-fold; trxh expression increased by 13-fold,,"drought tolerance, disease resistance",npr1 and trxh,,agrobacterium,overexpression
6274729.pdf,10.3390/ijms19113291,arabidopsis thaliana,agrobacterium-mediated transformation,reporter gene expression,"gus expression in young leaf: 10,000 units; gfp expression in young leaf: 6,000 units | ghrack1 expression in fiber: higher; ghuhrf1 expression in fiber: highest | gus expression in leaf tip, apical meristem, stigma, petiole base regions; gfp expression in young leaf trichomes and veins",ghzu,"gene expression, plant transformation",ghzu,,agrobacterium,modification
6277483.pdf,10.3389/fpls.2018.01570,arabidopsis thaliana,gene knockout,reduced auxin responsiveness,gus activity in stems: 0.004 pmol/min/mg (3ko); 0.009 pmol/min/mg (col); gus activity in silique: 0.037 pmol/min/mg (3ko); 0.040 pmol/min/mg (col) | ratio of apical to lateral fluorescence: 2.3 ± 1.33 (3ko); 3.3 ± 1.75 (col),dr5,"auxin response, flowering, senescence",class xi myosins,,unknown,knockdown/out
6280492.pdf,10.1186/s12870-018-1539-3,torenia fournieri,crispr/cas9 knockout,pale blue (almost white) flowers,"80% of regenerated lines; 4 lines (nos. 5, 9, 10, 19) with faint blue flowers; 3 lines (nos. 22-24) with pale violet flowers",,"flower property, flowering",f3h,,crispr/cas9,knockdown/out
6281999.pdf,10.3389/fphys.2018.01730,nilaparvata lugens,rna interference (rnai),"increased starvation resistance, altered lipid mobilization",68.1% reduction in niakhr transcripts at 24 h (p = 0.005); 81.9% reduction at 48 h (p < 0.001),,"disease resistance, lipid metabolism",akhr,,rnai,knockdown/out
6286955.pdf,10.1038/s41426-018-0208-9,bats,overexpression,increased susceptibility to mers-cov,viral load increase; mrna expression level,,"disease resistance, virus susceptibility",dpp4,,unknown,overexpression
6287857.pdf,10.1371/journal.pone.0208948,triticum turgidum l. ssp. durum,ems-induced point mutation,increased β-carotene content,β-carotene increased by 75%; total carotenoid content increased | lutein content unchanged | total carotenoid content in grains unchanged | β-carotene increased by 75%; lutein unchanged,,"above-ground biomass property, carotenoid biosynthesis, nutritional enhancement",lcye,,unknown,mutation
6288898.pdf,10.1186/s12870-018-1583-z,arabidopsis thaliana,overexpression via transgenic arabidopsis lines,flowering time,5 days earlier; 2 days earlier than sicol2 | 3 days earlier | 43.6 days; 30.7 ± 1.3 days | 5 days earlier flowering (35s::sicol1); 3 days earlier flowering (35s::sicol2),,"flowering, gene expression",sicol1,,unknown,overexpression
6291987.pdf,10.1186/s12870-018-1547-3,oryza sativa,t-dna insertional knockout,expression levels in different tissues,"roots: high; shoots: moderate | roots: moderate; shoots: moderate | roots: low; shoots: not detectable | nipponbare: high; lc-93-4: high | nipponbare: low; lc-93-4: low | low or undetectable expression in lc-93-4 roots and shoots | upregulated under aba treatment | upregulated under aba and ga treatments | decreased plant height, reduced seed weight, shorter panicles | early flowering, reduced plant height",contains aba-related cres | contains ga- and aba-related cres,gene expression,ossumo1,,unknown,knockdown/out
6305203.pdf,10.1093/jxb/ery353,arabidopsis thaliana,agrobacterium-mediated transformation,zinc deficiency phenotype,zinc accumulation in shoots: 34 ppm (wt); 19 ppm (hma2hma4 mutant),a. thaliana hma4 promoter,"disease resistance, mineral nutrition",hma4,,agrobacterium,modification
6305590.pdf,10.3389/fpls.2018.01882,nicotiana benthamiana,agrobacterium-mediated transient expression,protein interactions identified,number of proteins identified: 30; membrane proteins detected: 5,35s promoter,"gene expression, disease resistance",avrpto,,agrobacterium,modification
6324818.pdf,10.1371/journal.pgen.1007880,arabidopsis thaliana,loss of function,reduced lipid body accumulation in pollen,gpt1 expression reduced by 50%; lipid body accumulation reduced by 50% | pollen viability decreased by 32 ± 6%; germination rate decreased by 36 ± 8% | gpt1 expression increased by 300% | gpt1 expression: 30% of wild type; lipid staining: 30 ± 6%,gpt1 | pgpt1,"lipid biosynthesis, pollen development",gpt1,,unknown,modification
6328498.pdf,10.3389/fpls.2018.01902,zea mays,agrobacterium-mediated overexpression,drought tolerance,survival rate increased by 40-60%; relative water content increased by 10-20% | relative water content: 78.5 ± 3.2%; survival rate: 60 ± 5%; water loss rate: 12.3 ± 2.1%; stomatal density: 18.2 ± 2.5; mda content: 4.5 ± 0.8 nmol/g; electrolyte leakage: 1.2 ± 0.3%; apx activity: 4.0 ± 0.6 u/mg; sod activity: 3.2 ± 0.4 u/mg; arginine content: 1.2 ± 0.1 μg/g; no content: 0.8 ± 0.1 μm,cauliflower mosaic virus 35s promoter,"drought tolerance, stress response, plant transformation",zmnagk,,agrobacterium,overexpression
6333679.pdf,10.3389/fmicb.2018.03216,aeromonas hydrophila,in-frame deletion via restriction enzymes and overlap extension pcr,reduced virulence,mortality rate: 33.33%; survival rate: 91.67% | mortality rate: 33.33%; survival rate: 100%,,disease resistance,hcp1,,unknown,modification
6337368.pdf,10.3390/ijms20010089,nicotiana tabacum,overexpression via agrobacterium-mediated transformation,drought and salt stress tolerance,"root length under stress: magα transgenic plants showed shorter roots (p < 0.05); magβ, magγ1, magγ2 transgenic plants showed longer roots (p < 0.05); ros levels: magα overexpression led to higher ros accumulation; magβ, magγ1, magγ2 overexpression reduced ros accumulation (p < 0.05)",camv35s,"drought tolerance, salt stress tolerance, ros detoxification, plant transformation","magα, magβ, magγ1, magγ2",,agrobacterium,overexpression
6351596.pdf,10.1038/s41598-018-37352-6,triticum aestivum,overexpression via agrobacterium-mediated transformation,"improved tolerance to cd, zn, mn; increased translocation of heavy metals from roots to shoots",cd concentration in shoots: ~50 mg/kg dw; zn concentration in shoots: ~50 mg/kg dw; mn concentration in shoots: ~30 mg/kg dw,,heavy metal tolerance; heavy metal translocation,tacnr2,,agrobacterium,overexpression
6353857.pdf,10.3389/fpls.2019.00016,arabidopsis thaliana,point mutation,reduced trichome branching,percentage of two-branched trichomes: 54.3%; percentage of three-branched trichomes: 30.0% | percentage of unbranched trichomes: 30.0% | lobe length reduction: 20.0 μm; neck width reduction: 5.0 μm | distance from leaf plane: 508 μm | two-branched trichomes: 85.8%; three-branched trichomes: 13.9%,,"above-ground biomass property, gene expression",spike1 (spk1),,unknown,mutation
